food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
Chicken satay, without peanut sauce|Satay ayam|21.36 kcal|2.46 g|0.49 g|0.15 g|NA|1.8 g|9.18 mg|23.13 mg
Chicken stock||16.5 kcal|2.75 g|0.5 g|NA|NA|NA|NA|315 mg
Chicken thigh, skinless, boneless, raw||82.11 kcal|12.63 g|3.45 g|1.03 g|NA|NA|54.51 mg|42.78 mg
Chicken tikka|Boneless chicken marinated with Indian spices and grilled|173.06 kcal|23.92 g|8.33 g|2.59 g|0.86 g|0.6 g|60.23 mg|187.21 mg
Chicken wing, with liver and gizzard, braised|Chicken wing with liver and gizzard in dark soya sauce, braised|488.73 kcal|41.63 g|33.94 g|11.2 g|2.04 g|3.62 g|343.92 mg|669.74 mg
Chicken, boneless, unspecified cut, baked, lean and fat||661.03 kcal|68.07 g|43.68 g|12.6 g|NA|NA|343.04 mg|198.32 mg
Chicken, boneless, unspecified cut, baked, lean only||398.61 kcal|60.28 g|17.25 g|4.9 g|NA|NA|272.64 mg|174.66 mg
Chicken, breaded, nugget||207 kcal|10.42 g|13.54 g|2.68 g|1.8 g|8.99 g|27 mg|318 mg
Chicken, breast quarter, rotisseried, commercial, lean and skin||216.42 kcal|25.02 g|12.36 g|3.42 g|NA|1.31 g|75.38 mg|180.9 mg
Chicken, breast, KFC, hot and crispy||355.26 kcal|27.66 g|24.2 g|9.19 g|1.6 g|12.38 g|88.82 mg|666.85 mg
Chicken, breast, KFC, original recipe||346.64 kcal|37.26 g|19.6 g|6.82 g|1.13 g|9.18 g|142.54 mg|761.31 mg
Chicken, breast, baked, lean and skin||212.1 kcal|25.27 g|12.34 g|3.79 g|NA|NA|96.23 mg|57.35 mg
Chicken, breast, baked, lean only|Baked flesh from breast portion of the chicken. All skin removed after baking.|120.69 kcal|22.97 g|3.09 g|0.95 g|NA|NA|66.53 mg|36.43 mg
Chicken, breast, battered, fried, lean and skin||364 kcal|34.78 g|18.48 g|4.93 g|0.42 g|12.59 g|119 mg|385 mg
Chicken, breast, boiled, lean only||211.4 kcal|40.57 g|4.24 g|1.19 g|NA|NA|107.8 mg|88.2 mg
Chicken, breast, boneless, boiled, lean and skin||239.2 kcal|35.61 g|9.65 g|2.7 g|NA|NA|97.5 mg|80.6 mg
Chicken, breast, breaded, baked, lean and skin||217.56 kcal|31.2 g|8.69 g|2.4 g|0.1 g|1.61 g|87.22 mg|74.48 mg
Chicken, breast, fried, skinless||224.4 kcal|40.13 g|5.65 g|1.55 g|NA|0.61 g|109.2 mg|94.8 mg
Chicken, breast, raw, lean and skin|Raw flesh, skin and fat from breast portion of a chicken|237.01 kcal|28.94 g|13.54 g|4.18 g|NA|NA|93.6 mg|56.16 mg
Chicken, breast, raw, lean only|Uncooked flesh from breast portion of the chicken. All skin removed.|116.93 kcal|24.89 g|1.79 g|0.56 g|NA|NA|65.84 mg|45.76 mg
Chicken, broiler or fryer, unspecified cut, raw, meat and skin||1845.95 kcal|159.62 g|129.58 g|36.9 g|NA|NA|643.62 mg|600.71 mg
Chicken, broiler or fryer, unspecified cut, raw, meat only||721.01 kcal|129.63 g|18.78 g|4.85 g|NA|NA|424.03 mg|466.44 mg
Chicken, broiler or fryer, unspecified cut, raw, skin only||275.48 kcal|10.51 g|25.44 g|7.19 g|NA|NA|86.11 mg|49.77 mg
Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed||94.25 kcal|11.7 g|4.92 g|1.34 g|NA|NA|38.35 mg|35.11 mg
Chicken, broilers or fryers, wing, meat only, cooked, fried, KFC (NNS)|Taken from: US NDB 05063 Chicken, broilers or fryers, wing, meat only, cooked, fried|321.64 kcal|57.52 g|8.1 g|2.22 g|NA|0.88 g|156.52 mg|135.88 mg
Chicken, colonel's crispy strips, KFC|Deep fried chicken meat (cut in strips) in flour batter|3.23 kcal|0.19 g|0.19 g|0.04 g|0.01 g|0.19 g|0.73 mg|8.65 mg
Chicken, deep fried, Malay style|Chicken pieces, marinated with turmeric and salt, deep-fried with skin|140.56 kcal|15.81 g|8.58 g|3.07 g|NA|NA|55.64 mg|227.76 mg
Chicken, deep fried, skinless|Chicken, battered, deep fried, skin removed after cooking|290.46 kcal|40.63 g|14.21 g|5.01 g|NA|NA|179.22 mg|676.71 mg
Chicken, drumstick, baked, lean and skin|Flesh, skin and separable fat from drumstick portion of a chicken baked in an electric oven.|105.24 kcal|12.84 g|6.01 g|1.84 g|NA|NA|70.25 mg|40.21 mg
Chicken, drumstick, baked, lean only|Baked flesh from drumstick portion of a chicken. All skin removed after baking.|76.16 kcal|11.69 g|3.23 g|0.98 g|NA|NA|59.5 mg|35.7 mg
Chicken, drumstick, boiled, lean only||77.71 kcal|12.65 g|2.63 g|0.69 g|NA|NA|40.47 mg|36.79 mg
Chicken, drumstick, flour coated, fried, lean and skin||120.05 kcal|13.21 g|6.72 g|1.79 g|0.05 g|0.8 g|44.1 mg|43.61 mg
Chicken, drumstick, fried, lean only||81.94 kcal|12.03 g|3.4 g|0.9 g|NA|NA|39.5 mg|40.34 mg
Chicken, drumstick, hot and crispy, KFC|Drumstick, hot & crispy, KFC|167.81 kcal|13.59 g|12.8 g|4.11 g|0.2 g|5.92 g|52.99 mg|246.62 mg
Chicken, drumstick, raw, lean and skin|Uncooked flesh, skin and separable fat from the drumstick portion of a chicken|113.56 kcal|12.95 g|6.84 g|2.06 g|NA|NA|63.3 mg|49.31 mg
Chicken, drumstick, raw, lean only|Uncooked flesh from drumstick portion of a chicken. All skin removed.|73.09 kcal|11.49 g|2.98 g|0.87 g|NA|NA|52.16 mg|44.09 mg
Chicken, feet, raw||89.66 kcal|11.34 g|4.92 g|1.08 g|NA|NA|44.41 mg|47 mg
Chicken, fried||224.4 kcal|40.13 g|5.65 g|1.55 g|NA|0.61 g|109.2 mg|94.8 mg
Chicken, fried & ran through water|Nil|397.6 kcal|80.94 g|8.52 g|1.56 g|NA|NA|163.3 mg|710 mg
Chicken, fried, spicy, drumstick, meat w skin & breading, Popeyes||100 kcal|9 g|5 g|2 g|NA|3 g|71 mg|230 mg
Chicken, gizzard, raw||22.1 kcal|3.8 g|0.62 g|0.21 g|NA|0.3 g|29.9 mg|15.18 mg
Chicken, ground, raw||160.16 kcal|19.53 g|9.07 g|2.58 g|NA|0.04 g|96.32 mg|67.2 mg
Chicken, heart, boiled||15.21 kcal|2.17 g|0.65 g|0.19 g|NA|0.01 g|19.89 mg|3.95 mg
Chicken, heart, raw||11.42 kcal|1.65 g|0.53 g|0.18 g|NA|NA|14.51 mg|10.35 mg
Chicken, herbal tonic|Steamed herbal chicken, Yao Cai Ji|753.01 kcal|81.96 g|43.54 g|12.86 g|4.1 g|8.71 g|230.51 mg|2453.68 mg
Chicken, intestine, raw||7.35 kcal|0.42 g|0.63 g|0.21 g|NA|NA|4.24 mg|1.12 mg
Chicken, leg quarter, rotisseried, commercial, lean and skin||267.85 kcal|24.75 g|18.41 g|5.84 g|NA|1.09 g|91.08 mg|188.1 mg
Chicken, liver, boiled||241.61 kcal|37.49 g|8.39 g|2.83 g|NA|1.35 g|971.05 mg|78.48 mg
Chicken, liver, raw||46.89 kcal|7.77 g|1.33 g|0.44 g|NA|0.97 g|177.58 mg|29.12 mg
Chicken, matured, dressed, carcass, raw, lean and skin||1317.02 kcal|199.81 g|57.34 g|16.13 g|NA|NA|806.4 mg|1012.48 mg
Chicken, matured, raw, dressed carcass, lean only||783.28 kcal|140.83 g|20.4 g|5.26 g|NA|NA|460.66 mg|506.72 mg
Chicken, neck, boiled, lean and skin||91.03 kcal|7.23 g|6.67 g|1.84 g|NA|NA|25.8 mg|19.17 mg
Chicken, neck, raw, lean and skin||81.68 kcal|3.87 g|7.22 g|2 g|NA|NA|27.23 mg|17.6 mg
Chicken, nuggets, Long John Silver's||46.8 kcal|1.54 g|3 g|0.94 g|NA|3.6 g|1.6 mg|56.8 mg
Chicken, roasted, skinless||245.25 kcal|37.72 g|10.47 g|3.7 g|NA|NA|141.99 mg|392.97 mg
Chicken, skin, baked|Baked skin, seperated from the flesh of chicken after baking.|239.21 kcal|12.27 g|21.4 g|6.49 g|NA|NA|99 mg|42.9 mg
Chicken, thigh, boiled, lean and skin||157.81 kcal|15.82 g|10.03 g|2.8 g|NA|NA|57.14 mg|48.29 mg
Chicken, thigh, boiled, lean only||107.6 kcal|13.8 g|5.4 g|1.5 g|NA|NA|49.66 mg|41.39 mg
Chicken, thigh, hot and crispy, KFC|Thigh, hot and crispy, KFC|347.15 kcal|22.24 g|27.01 g|9.4 g|1.11 g|11.4 g|103.77 mg|522.57 mg
Chicken, thigh, original recipe, KFC|- -|286.2 kcal|22.27 g|20.6 g|6.27 g|1.22 g|9.05 g|115.81 mg|467.71 mg
Chicken, thigh, raw, lean and skin||300.14 kcal|23.21 g|23.07 g|7.23 g|NA|NA|114.66 mg|70.98 mg
Chicken, thigh, roasted, lean and skin||154.05 kcal|15.63 g|9.66 g|2.7 g|NA|NA|58 mg|52.39 mg
Chicken, thigh, roasted, lean only||109.98 kcal|13.64 g|5.74 g|1.58 g|NA|NA|50.02 mg|46.33 mg
Chicken, unspec cut, rotisseried, commercial, lean and skin||471.86 kcal|48.48 g|29.98 g|9.74 g|NA|2.34 g|161.6 mg|360.2 mg
Chicken, wing, boiled, lean and skin||111.92 kcal|10.24 g|7.56 g|2.12 g|NA|NA|31.46 mg|30.12 mg
Chicken, wing, hot and crispy, KFC||144.58 kcal|8.82 g|13.3 g|4.03 g|NA|4.56 g|40.11 mg|205.85 mg
Chicken, wing, original recipe, KFC||119.23 kcal|8.86 g|9.9 g|2.59 g|NA|4.03 g|47.13 mg|227.18 mg
Chicken, wing, raw, lean and skin||104.7 kcal|7.99 g|8.09 g|2.57 g|NA|NA|36 mg|26.65 mg
Chicken, wing, raw, lean only||36.52 kcal|6.37 g|1.03 g|0.27 g|NA|NA|16.52 mg|23.48 mg
Chicken, wing, roasted, lean only||43.82 kcal|6.26 g|1.91 g|0.52 g|NA|NA|17.42 mg|18.87 mg
Chicken, wing, tip, baked||22.28 kcal|1 g|2 g|0.56 g|NA|NA|4.07 mg|3.19 mg
Chicken, wing, tip, boiled||17.81 kcal|0.75 g|1.62 g|0.46 g|NA|NA|3.09 mg|2.75 mg
Chicken, wing, tip, flour coated, fried||32.49 kcal|1.24 g|2.76 g|0.76 g|NA|0.6 g|4.73 mg|3.43 mg
Chicken, wing, tip, raw||20.01 kcal|0.76 g|1.85 g|0.52 g|NA|NA|6.25 mg|3.61 mg
Chicken, with black bean and capsicum, braised||159.69 kcal|10.69 g|12.4 g|3.85 g|0.62 g|1.34 g|58.45 mg|385.08 mg
Chicken, with nutmeg|Buah pala ayam|294.57 kcal|28.24 g|19.81 g|6.63 g|0.81 g|0.83 g|123.36 mg|151.36 mg
Chickpea curry||305.17 kcal|18.36 g|15.37 g|8.08 g|15.32 g|23.32 g|12.33 mg|1207.5 mg
Chickpeas, deep fried|Chickpeas, deep fried, until golden brown colour.|214 kcal|9.7 g|6.05 g|1.8 g|10 g|30.2 g|NA|207 mg
Chickpeas, mature seeds, cooked, boiled, without salt|Garbanzo beans, bengal gram boiled|268.96 kcal|14.53 g|4.25 g|0.44 g|12.46 g|44.95 g|NA|11.48 mg
Chickpeas, raw|Raw chick peas|513.32 kcal|28.17 g|3.13 g|0.34 g|22.54 g|93.27 g|NA|25.04 mg
Chilli crab|Crab cooked in thick red chilli gravy|212.24 kcal|16.95 g|12.75 g|5.85 g|0.02 g|7.35 g|220.5 mg|804 mg
Chilli paste, raw, commercial||16.5 kcal|0.8 g|0.6 g|0.1 g|1.05 g|1.98 g|NA|396.25 mg
Chilli sauce, bottle, commercial|Sos cili dalam botol|22.6 kcal|0.56 g|0.08 g|NA|0.14 g|4.9 g|NA|228.8 mg
Chilli sauce, chicken rice|Semi-fluid, made with ground fresh chilli and lime juice added|4.01 kcal|0.23 g|0.08 g|0 g|0.25 g|0.6 g|NA|281.45 mg
Chilli soyabean, paste||14.54 kcal|0.73 g|0.77 g|0.12 g|0.67 g|1.17 g|0.4 mg|775.8 mg
Chilli, dried||2.13 kcal|0.15 g|0.12 g|0.02 g|0.42 g|0.11 g|NA|0.02 mg
Chilli, green, pickled|Sliced green chilli soaked in vinegar|3.2 kcal|0.06 g|0.06 g|0.01 g|0.2 g|0.62 g|NA|55.45 mg
Chilli, green, raw||3.03 kcal|0.16 g|0.04 g|0.01 g|0.16 g|0.52 g|NA|0.23 mg
Chilli, powder||4.06 kcal|0.3 g|0.19 g|0.03 g|0.87 g|0.28 g|NA|2 mg
Chilli, red, raw||2.74 kcal|0.21 g|0.05 g|0.01 g|0.36 g|0.34 g|NA|0.76 mg
Chilli, small, raw||49.57 kcal|4.11 g|0.74 g|0.11 g|7.37 g|6.53 g|NA|36.85 mg
Chin cha lok|Nil|236.52 kcal|34.16 g|2.63 g|0.99 g|0.58 g|18.98 g|233.6 mg|11329.6 mg
China pearl barley, raw||1046.9 kcal|43.5 g|7.54 g|0.84 g|11.6 g|201.55 g|NA|118.9 mg
Chinese cabbage, with fish cake, stir fried||84.98 kcal|4.5 g|6.37 g|1.82 g|1.21 g|2.52 g|13.3 mg|246.53 mg
Chinese mutton soup|Soup, chinese style, made with mutton, with bones, dried beancurd, black fungus and water|389.09 kcal|36.24 g|27.18 g|13.33 g|NA|NA|181.22 mg|1460.42 mg
Chinese pear|Li,Pear, yellow, raw with peel|53.34 kcal|0.79 g|0.31 g|0.02 g|5.34 g|11.94 g|NA|6.29 mg
Chinese rojak|Dressing contains sweet prawn paste|517.58 kcal|16.29 g|21.48 g|6.06 g|6.84 g|63.85 g|12.36 mg|914.32 mg
Chinese style chicken and corn soup|Soup, chicken and corn, chinese style|107.36 kcal|5.79 g|5.5 g|2.11 g|0.75 g|8.71 g|47.52 mg|616.66 mg
Chipotle Southwest Sauce, Subway|Values are for toppings on a 6-inch Subway sandwich.|95.97 kcal|NA|10 g|1.6 g|NA|1 g|7.98 mg|215.04 mg
Chips, jackfruit||13.86 kcal|0.14 g|0.53 g|0.21 g|0.26 g|2.13 g|NA|3.71 mg
Chips, multigrain, SunChips, harvest cheddar flavour||12.52 kcal|0.18 g|0.54 g|0.09 g|0.18 g|1.72 g|NA|17.25 mg
Chips, multigrain, SunChips, original flavour||12.52 kcal|0.18 g|0.54 g|0.05 g|0.18 g|1.72 g|NA|10.44 mg
Chirashi Don|Rice, seafood, fish roe, egg cubes, ginger, egg slices, vegetables and cucumber|527.61 kcal|30.27 g|7.08 g|1.84 g|10.63 g|85.89 g|NA|1472.4 mg
Chives, chinese, raw||24.24 kcal|2.11 g|0.47 g|0.08 g|0.94 g|2.96 g|NA|1.56 mg
Chocolate Chunk Cookies, Subway||199.8 kcal|1.8 g|10 g|5.3 g|1 g|30 g|9.9 mg|99.9 mg
Chocolate Cookies, Subway||199.8 kcal|1.8 g|10 g|5.3 g|1 g|30 g|9.9 mg|99.9 mg
Chocolate Croissant|Croissant and chocolate|375.99 kcal|6.23 g|20.5 g|12.87 g|0.83 g|41.67 g|NA|296.31 mg
Chocolate Lava Cake|Cream, fruits and cake|430.08 kcal|7.68 g|27.05 g|16.78 g|3.2 g|39.04 g|NA|67.2 mg
Chocolate and nut doughnut|Doughnut, chocolate with nuts|282.6 kcal|6.06 g|18.48 g|7.92 g|2.64 g|23.16 g|5.4 mg|99.9 mg
Chocolate burfi|Rectangular shape snack made from milk with chocolate flavour|298.62 kcal|3.59 g|14.55 g|7.66 g|0.32 g|39.06 g|10.08 mg|41.58 mg
Chocolate chip cookie|Purchased from specialty stores|88.8 kcal|1.1 g|4.38 g|2.06 g|0.56 g|11.22 g|3.9 mg|63.1 mg
Chocolate chip frappuccino|Chocolate chip frappuccino|587.8 kcal|14.75 g|32.9 g|20.4 g|0.8 g|61.5 g|35.55 mg|167.8 mg
Chocolate chip frappuccino with whipped cream|Chocolate chip ice blended drink with whipped cream|606.05 kcal|14.8 g|35.2 g|21.95 g|0.8 g|60.8 g|43.3 mg|169 mg
Chocolate cream roll|soft bread roll with chocolate-cream-filling|193.05 kcal|5.59 g|4.68 g|2.67 g|1.69 g|32.18 g|NA|213.2 mg
Chocolate eclair|Eclair, chocolate|258 kcal|3.15 g|21.45 g|14.8 g|0.85 g|13.25 g|71.5 mg|145.5 mg
Chocolate milk bubble tea||319.44 kcal|1.94 g|4.84 g|4.02 g|1.45 g|66.79 g|NA|19.36 mg
Chocolate muffin||310.18 kcal|4.67 g|18.48 g|11.3 g|2.07 g|30.8 g|55.07 mg|414.76 mg
Chocolate tart|Chocolate tart|388.8 kcal|6.84 g|26.57 g|16.66 g|2.97 g|30.51 g|NA|52.65 mg
Chocolate, baking, bitter||146.52 kcal|3.1 g|8.28 g|NA|NA|14.89 g|0 mg|1.04 mg
Chocolate, baking, sweet||153.18 kcal|1.04 g|10.44 g|5.22 g|NA|13.76 g|NA|9.28 mg
Chocolate, candy coated||241.5 kcal|2.45 g|8.85 g|6.15 g|NA|38.35 g|4 mg|27.5 mg
Chocolate, dark|Chocolate confectionery prepared with a high proportion of cocoa solids so that it is dark in colour and slightly bitter in flavour.|103.49 kcal|1.28 g|5.7 g|3.42 g|0.24 g|12.52 g|NA|11 mg
Chocolate, milk|Chocolate confectionery containing added milk solids and sold in a block or moulded into novelty shapes.|26.91 kcal|0.41 g|1.5 g|0.93 g|0.04 g|3.1 g|0.9 mg|4.5 mg
Chocolate, milk with nuts|Confectionery product composed of milk chocolate with embedded nuts. Nut types typically include peanuts, almonds, hazelnuts or cashews.|150.97 kcal|3.22 g|8.56 g|4.18 g|1.42 g|15.37 g|6.09 mg|20.59 mg
Chocolate, milk, beans||139.49 kcal|0.81 g|0.96 g|0.57 g|NA|31.89 g|NA|13.32 mg
Chocolate, milk, filled with soft cream type filling||83.13 kcal|1.05 g|4.2 g|2.57 g|NA|10.44 g|2.55 mg|13.43 mg
Chocolate, sprinkle||25.14 kcal|0.27 g|1.16 g|0.67 g|NA|3.42 g|NA|1.5 mg
Choko, boiled, peeled|vegetable pear, li gua, fuo shou gua|34.5 kcal|0.84 g|0.28 g|NA|2.38 g|6.02 g|NA|12.6 mg
Choko, raw, peeled|Li gua, vegetable pear, fuo shou gua; Chayote|34.96 kcal|0.84 g|0.34 g|NA|2.35 g|6.05 g|NA|13.44 mg
Choy Sum||74.56 kcal|4.79 g|6.01 g|2.23 g|NA|NA|20.41 mg|15.88 mg
Chrysanthemum garland, boiled, drained||20 kcal|1.64 g|0.09 g|0.02 g|2.3 g|4.31 g|NA|53 mg
Chrysanthemum tea|Chrysanthemum|115 kcal|NA|NA|NA|NA|28.5 g|NA|10.15 mg
Chrysanthemum tea (reduced sugar)||65.13 kcal|NA|NA|NA|NA|16 g|NA|NA
Chrysanthemum, garland, raw||11.65 kcal|1.78 g|0.34 g|NA|0.62 g|0.34 g|NA|43.24 mg
Churros|Churros|295.8 kcal|5.27 g|12.49 g|3.88 g|2.81 g|40.63 g|NA|346.8 mg
Chutney, coconut|Coconut, grated, with chilli and ginger, fried|86.47 kcal|1.04 g|8.65 g|7.08 g|2.57 g|1.15 g|NA|216.18 mg
Chutney, dried cuttlefish (malay)|Acar sotong kering|403.9 kcal|64.87 g|12.85 g|8.26 g|4.59 g|7.19 g|1042.85 mg|2555.14 mg
Chutney, fresh coriander||15.56 kcal|0.46 g|0.76 g|0.52 g|0.54 g|1.73 g|NA|230.8 mg
Chutney, mango|Fried mango with tumeric powder, sugar added|227.01 kcal|1.97 g|5.26 g|0.92 g|9.87 g|43.1 g|NA|1197.56 mg
Chutney, mint, fresh||18.21 kcal|0.85 g|0.3 g|0 g|0.85 g|3.03 g|NA|430.03 mg
Chutney, sweet tomato||91.14 kcal|1.41 g|6.83 g|1.27 g|1.66 g|6.01 g|NA|270.78 mg
Chwee kueh|Served with preserved radish and chilli|56.59 kcal|1.03 g|1.03 g|0.57 g|1.09 g|10.72 g|1.15 mg|230.47 mg
Chye sim with fish cake||92.2 kcal|3.81 g|6.14 g|2.28 g|1.07 g|5.46 g|5.67 mg|197.84 mg
Ciku, raw||43.71 kcal|0.21 g|0.43 g|0.07 g|2.82 g|9.81 g|NA|11.19 mg
Cilantro, raw||0.38 kcal|0.03 g|0.01 g|0 g|0.04 g|0.07 g|NA|0.86 mg
Cinnamon|Bun made with added cinnamon|282.03 kcal|5.45 g|8.69 g|4.52 g|1.42 g|45.5 g|7.9 mg|443.98 mg
Cinnamon, ground||6.01 kcal|0.09 g|0.07 g|0.01 g|0.56 g|1.28 g|NA|0.6 mg
Citric acid anhydrous, powder||2.47 kcal|NA|NA|NA|NA|1 g|NA|NA
Citrus carbonated water|Water, mineral with citrus juice, carbonated|43.63 kcal|NA|NA|NA|NA|11.16 g|NA|18 mg
Cj Korean Bibimbap Sauce|-|30.15 kcal|0.51 g|0.27 g|0.06 g|0.36 g|6.6 g|NA|318.3 mg
Clam chowder, Long John Silver's||193.04 kcal|9.61 g|6.83 g|2.78 g|20.49 g|23.28 g|2.53 mg|834.9 mg
Clam dinner, Long John Silver's||197.46 kcal|4.32 g|11.34 g|4.65 g|0.09 g|19.53 g|5.4 mg|301.5 mg
Clam, raw||3.18 kcal|0.56 g|0.06 g|0.02 g|NA|0.1 g|5.29 mg|12.1 mg
Claypot chicken with dark soya sauce|Claypot chicken, with dark soya sauce|132 kcal|14.1 g|7.85 g|2.41 g|1.42 g|1.24 g|39.24 mg|681.48 mg
Claypot noodles, with mixed vegetables|Ee mee, with mushroom, baby corn, carrot, cauliflower, tomato, chinese cabbage, celery, pea, in claypot|341.36 kcal|9.04 g|18.07 g|7.88 g|4.02 g|35.64 g|NA|1270.06 mg
Claypot rice with salted fish,chicken and chinese sausages|Rice with salted fish, chicken with skin, and chinese sausages, cooked in claypot|527.1 kcal|28.35 g|21.7 g|9.1 g|3.5 g|54.6 g|98 mg|1281 mg
Claypot rice, with mixed vegetable||419.21 kcal|11.4 g|13.43 g|4.84 g|6.51 g|63.49 g|8.14 mg|1416.36 mg
Claypot rice, with prawn|Rice, W/ prawn, claypot|416.1 kcal|17.09 g|7.43 g|2.9 g|2.97 g|69.47 g|104.03 mg|980.81 mg
Claypot rice, with stewed beef|Rice, with stewed beef and stir fried onion in claypot|643.06 kcal|34.19 g|17.91 g|7.73 g|4.07 g|85.88 g|109.89 mg|879.12 mg
Clove, dried||6.51 kcal|0.11 g|0.26 g|0.07 g|0.2 g|0.93 g|NA|5.92 mg
Coca Cola Coke|Carbonated, non-alcoholic beverage containing sugar, water, colouring and flavouring including caffeine.|132.63 kcal|NA|NA|NA|NA|34.65 g|NA|36.3 mg
Coca Cola Light|Soft drink, cola, low calorie|3.3 kcal|0.33 g|NA|NA|NA|0.33 g|NA|19.8 mg
Cockle, boiled||1.52 kcal|0.22 g|0.01 g|0.01 g|NA|0.13 g|1.37 mg|9.03 mg
Cockle, raw||2.2 kcal|0.36 g|0.04 g|0.01 g|NA|0.12 g|1.57 mg|7.84 mg
